i18n-prefs;.amazon.in ;/;INR;Mon Jul 25 20:01:18 IST 2022;false
session-id-time;.amazon.in ;/;2082758401l;Mon Jul 25 20:01:18 IST 2022;false
ubid-acbin;.amazon.in ;/;259-6792966-0873222;Mon Jul 25 20:01:20 IST 2022;true
csm-hit;www.amazon.in ;/;tb:s-QRX2SSCEY8SFK0H7R3FR|1627223478842&t:1627223480168&adb:adblk_no;Sun Jul 10 20:01:20 IST 2022;false
session-id;.amazon.in ;/;260-2203423-4490821;Mon Jul 25 20:01:18 IST 2022;true
